Product ID,Product Name,Category,Sub-Category,product_total_sales,product_total_profit,product_total_quantity
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.824,25199.928,20
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.384,7753.039,31
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.0784,6
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.576,8.5265128291212e-14,39
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,19823.479,2233.5051,37
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,19024.5,760.98,48
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.686,6983.8836,38
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.895,4094.9766,12
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.068,-1878.1662,27
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.312,-262.0048,11
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.901,-4589.973,18
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.2,-1299.1836,22
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,15875.916,3345.2823,13
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.9656,-669.5448,24
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14299.89,3717.9714,11
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,13943.668,1822.7566,39
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,12996.6,1611.5784,24
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,12995.2915,-327.2331,46
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,12975.382,951.862,32
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,11619.834,4570.9347,19
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,11572.78,1179.374,53
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,11304.44,3247.02,40
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.963,-8879.9704,9
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,11046.609,90.1764,27
OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,10925.004,1575.1098,43
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,10822.36,3085.0325,35
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,10637.528,1927.442,51
TEC-AC-10003832,Logitech�P710e Mobile Speakerphone,Technology,Accessories,10196.604,1645.3611,41
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9917.64,-2876.1156,27
OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,9630.856,429.7882,47
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.725,-1934.3976,33
TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,9367.29,3696.282,24
TEC-MA-10000488,Bady BDG101FRU Card Printer,Technology,Machines,9279.884,1327.9834,14
OFF-ST-10004459,Tennsco Single-Tier Lockers,Office Supplies,Storage,9158.296,-825.748,28
FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,9070.944,773.2608,31
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers,8959.872,2799.96,16
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,8899.822,3124.9375,21
TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,Technology,Phones,8878.4,515.52,32
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,8774.5,1305.6456,28
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,8665.194,1558.591,35
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,8430.997,1388.6348,34
FUR-TA-10001095,Chromcraft Round Conference Tables,Furniture,Tables,8209.059,-189.9761,61
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,8138.232,2016.711,49
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,8070.192,2518.0551,27
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.9904,4
OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,7985.383,2318.337,28
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,7979.44,926.185,33
TEC-MA-10000984,Okidata MB760 Printer,Technology,Machines,7834.4,881.37,7
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,7730.196,1932.549,45
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7699.89,3772.9461,11
TEC-PH-10004165,Mitel MiVoice 5330e IP Phone,Technology,Phones,7699.72,780.9716,34
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,7582.374,832.9932,24
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,7539.7122,780.3302,35
OFF-ST-10001780,Tennsco 16-Compartment Lockers with Coat Rack,Office Supplies,Storage,7515.524,1114.3708,13
FUR-TA-10003954,Hon 94000 Series Round Tables,Furniture,Tables,7404.5,-681.214,30
TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology,Accessories,7399.704,1432.4427,31
